iter	Passed	Remaining
907	1698	172
908	1699	170
909	1701	168
910	1703	166
911	1704	164
912	1706	162
913	1708	160
914	1709	158
915	1711	156
916	1713	155
917	1714	153
918	1716	151
919	1718	149
920	1719	147
921	1721	145
922	1723	143
923	1724	141
924	1726	140
925	1728	138
926	1730	136
927	1732	134
928	1733	132
929	1735	130
930	1737	128
931	1738	126
932	1740	124
933	1742	123
934	1743	121
935	1745	119
936	1747	117
937	1748	115
938	1750	113
939	1752	111
940	1753	109
941	1755	108
942	1757	106
943	1759	104
944	1760	102
945	1762	100
946	1764	98
947	1766	96
948	1767	95
949	1769	93
950	1771	91
951	1773	89
952	1775	87
953	1776	85
954	1778	83
955	1780	81
956	1781	80
957	1783	78
958	1785	76
959	1786	74
960	1788	72
961	1790	70
962	1791	68
963	1793	66
964	1795	65
965	1796	63
966	1798	61
967	1800	59
968	1802	57
969	1803	55
970	1805	53
971	1807	52
972	1808	50
973	1810	48
974	1812	46
975	1813	44
976	1815	42
977	1817	40
978	1819	39
979	1820	37
980	1822	35
981	1824	33
982	1825	31
983	1827	29
984	1829	27
985	1831	26
986	1832	24
987	1834	22
988	1836	20
989	1837	18
990	1839	16
991	1841	14
992	1843	12
993	1844	11
994	1846	9
995	1848	7
996	1850	5
997	1851	3
998	1853	1
999	1855	0
